2026-03-07 15:21:13 | edumind.email_verification | INFO     | email_verification.py:74 | SMTP not configured — verification code for test@test.com: 987222
2026-03-07 16:27:20 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON by extracting object
2026-03-07 16:28:23 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON by extracting object
2026-03-07 16:30:43 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON by extracting object
2026-03-07 16:31:25 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON by extracting object
2026-03-07 16:33:31 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON after removing markdown blocks
2026-03-07 16:38:49 | edumind.db           | INFO     | db.py:93 | Database schema initialized.
2026-03-07 16:38:49 | edumind.migrations   | ERROR    | migrations.py:66 | Migration failed: string indices must be integers, not 'str'
2026-03-07 16:38:53 | edumind.focus_mode   | INFO     | focus_mode.py:55 | FocusModeWidget initialized
2026-03-07 16:38:54 | edumind.accessibility | INFO     | accessibility.py:31 | KeyboardShortcutManager initialized
2026-03-07 16:38:54 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+, -> Open settings
2026-03-07 16:38:54 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+D -> Toggle dark/light theme
2026-03-07 16:38:54 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+1 -> Go to Dashboard
2026-03-07 16:38:54 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+2 -> Go to Study Assistant
2026-03-07 16:38:54 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+3 -> Go to Focus Mode
2026-03-07 16:38:54 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+4 -> Go to Analytics
2026-03-07 16:38:54 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: F1 -> Show help
2026-03-07 16:39:00 | edumind.text_chunker | DEBUG    | text_chunker.py:95 | Created chunk 1: 1760 chars
2026-03-07 16:39:00 | edumind.text_chunker | DEBUG    | text_chunker.py:95 | Created chunk 2: 1792 chars
2026-03-07 16:39:00 | edumind.text_chunker | DEBUG    | text_chunker.py:95 | Created chunk 3: 931 chars
2026-03-07 16:39:00 | edumind.text_chunker | INFO     | text_chunker.py:103 | Split text into 3 chunks (avg: 1494 chars)
2026-03-07 16:39:18 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON after removing markdown blocks
2026-03-07 16:39:44 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON after removing markdown blocks
2026-03-07 16:40:02 | edumind.json_parser  | DEBUG    | json_parser.py:66 | Parsed JSON after removing markdown blocks
2026-03-07 17:08:45 | edumind.db           | INFO     | db.py:149 | Database schema initialized.
2026-03-07 17:08:45 | edumind.migrations   | INFO     | migrations.py:72 | Migrated 3 users to database.
2026-03-07 17:08:49 | edumind.focus_mode   | INFO     | focus_mode.py:55 | FocusModeWidget initialized
2026-03-07 17:08:49 | edumind.quiz_history | ERROR    | quiz_history_viewer.py:127 | Failed to load quiz history: no such table: quiz_history
2026-03-07 17:08:49 | edumind.accessibility | INFO     | accessibility.py:31 | KeyboardShortcutManager initialized
2026-03-07 17:08:49 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+, -> Open settings
2026-03-07 17:08:49 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+D -> Toggle dark/light theme
2026-03-07 17:08:49 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+1 -> Go to Dashboard
2026-03-07 17:08:49 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+2 -> Go to Study Assistant
2026-03-07 17:08:49 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+3 -> Go to Focus Mode
2026-03-07 17:08:49 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+4 -> Go to Analytics
2026-03-07 17:08:49 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: F1 -> Show help
2026-03-07 17:10:29 | edumind.db           | INFO     | db.py:149 | Database schema initialized.
2026-03-07 17:10:29 | edumind.quiz_history | ERROR    | quiz_history_viewer.py:127 | Failed to load quiz history: no such table: quiz_history
2026-03-07 17:10:29 | edumind.accessibility | INFO     | accessibility.py:31 | KeyboardShortcutManager initialized
2026-03-07 17:10:29 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+, -> Open settings
2026-03-07 17:10:29 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+D -> Toggle dark/light theme
2026-03-07 17:10:29 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+1 -> Go to Dashboard
2026-03-07 17:10:29 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+2 -> Go to Study Assistant
2026-03-07 17:10:29 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+3 -> Go to Focus Mode
2026-03-07 17:10:29 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+4 -> Go to Analytics
2026-03-07 17:10:29 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: F1 -> Show help
2026-03-07 17:10:41 | edumind.youtube      | WARNING  | youtube.py:20 | youtube_transcript_api not installed. YouTube features limited.
2026-03-07 17:10:52 | edumind.auth         | INFO     | auth_service.py:51 | AuthService initialized with 0 users
2026-03-07 17:45:08 | edumind.db           | INFO     | db.py:149 | Database schema initialized.
2026-03-07 17:45:08 | edumind.accessibility | INFO     | accessibility.py:31 | KeyboardShortcutManager initialized
2026-03-07 17:45:08 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+, -> Open settings
2026-03-07 17:45:08 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+D -> Toggle dark/light theme
2026-03-07 17:45:08 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+1 -> Go to Dashboard
2026-03-07 17:45:08 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+2 -> Go to Study Assistant
2026-03-07 17:45:08 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+3 -> Go to Focus Mode
2026-03-07 17:45:08 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: Ctrl+4 -> Go to Analytics
2026-03-07 17:45:08 | edumind.accessibility | DEBUG    | accessibility.py:51 | Registered shortcut: F1 -> Show help
2026-03-07 17:45:21 | edumind.youtube      | WARNING  | youtube.py:20 | youtube_transcript_api not installed. YouTube features limited.
